InputVoltage BandgapControl RampGain ADCvalue
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
0.896074 10 3 477
