InputVoltage BandgapControl RampGain ADCvalue
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 501
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 501
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 501
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 502
0.597383 10 3 503
