InputVoltage BandgapControl RampGain ADCvalue
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 504
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 505
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 504
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 504
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 504
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 504
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 504
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 504
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 504
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 504
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 508
0.597383 10 3 509
0.597383 10 3 509
0.597383 10 3 508
