InputVoltage BandgapControl RampGain ADCvalue
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 487
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 487
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
0.597 10 3 486
