InputVoltage BandgapControl RampGain ADCvalue
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 494
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
0.597383 10 3 493
