AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_A04,LEFT,0,0,0,2.1341927761326732e-08,1.0385053952626421e-06,-0.28270654736222345,28184.414039883577
AMAC_A04,LEFT,0,0,1,5.0800818888218456e-08,-1.796841696029211e-06,-0.12756901687919553,28152.624210005593
AMAC_A04,LEFT,0,0,2,9.801201596073556e-07,-7.606650649829967e-05,-0.12485040346626404,108.78412293294754
AMAC_A04,LEFT,0,0,3,1.0749209335781649e-06,-8.332266344176161e-05,-0.12540403524482094,62.71689192296616
AMAC_A04,LEFT,0,0,4,4.635574703367426e-06,-0.00035203502350160225,-0.1259632017114773,68.91699077059737
AMAC_A04,LEFT,0,0,5,4.717642446196115e-06,-0.0003580084408618882,-0.12565080108807064,69.23776549445269
AMAC_A04,LEFT,0,0,6,5.548602246972511e-06,-0.00042019025017402215,-0.1259633012152738,70.06584942569802
AMAC_A04,LEFT,0,0,7,5.651873863835302e-06,-0.0004283966918266499,-0.1271589627137022,70.18171549076169
AMAC_A04,LEFT,0,0,8,1.0119209550299966e-05,-0.0007628711426541295,-0.1263809833384663,69.60044158843995
AMAC_A04,LEFT,0,0,9,1.0213898387277038e-05,-0.0007708778935250165,-0.12781789249420275,70.66969714400317
AMAC_A04,LEFT,0,0,10,1.107059857885377e-05,-0.0008354317367092742,-0.1281722769689457,70.66264713995967
AMAC_A04,LEFT,0,0,11,1.1108654111537634e-05,-0.0008373616209943423,-0.1289186546480253,72.10706659691547
AMAC_A04,LEFT,0,0,12,1.4599061577581616e-05,-0.0010984312330288232,-0.1307561356591998,73.81042049978801
AMAC_A04,LEFT,0,0,13,1.459568881723175e-05,-0.0010970842481506954,-0.12973109952614487,74.26415907865827
AMAC_A04,LEFT,0,0,14,1.5435135227230987e-05,-0.0011607700158141915,-0.12911119505922103,73.75127441585674
AMAC_A04,LEFT,0,0,15,1.5547658228727324e-05,-0.0011684441182662538,-0.12890200053260592,73.11036430843991
AMAC_A04,LEFT,0,1,0,3.427510199546612e-08,-8.802569941741514e-07,-0.0669368581514817,0.14968182368799457
AMAC_A04,LEFT,0,1,1,3.8799745738795065e-08,-3.1557266783307784e-06,-0.2960491986338027,37418.21036605126
AMAC_A04,LEFT,0,1,2,4.4192070910799294e-08,-5.342299232518495e-06,-0.2981267688611367,98410.35776732094
AMAC_A04,LEFT,0,1,3,5.6964551009586123e-08,-7.3699849797075186e-06,-0.2736687731323759,81997.56326695016
AMAC_A04,LEFT,0,1,4,2.2428934551379806e-06,-0.0003459221587697601,-0.13116473849446514,74.90275682189427
AMAC_A04,LEFT,0,1,5,2.281435597882471e-06,-0.00035195691129383933,-0.1289906194349651,73.21259830043644
AMAC_A04,LEFT,0,1,6,2.711021634567354e-06,-0.00041688216193396936,-0.16298468142753342,97.51573687713916
AMAC_A04,LEFT,0,1,7,2.73402575875826e-06,-0.000421176900707366,-0.12883660795685947,72.12067442225855
AMAC_A04,LEFT,0,1,8,4.890385080952028e-06,-0.0007492315079367886,-0.1253119662878231,68.7328461428201
AMAC_A04,LEFT,0,1,9,4.923479168244041e-06,-0.0007540244644969215,-0.12615012214821958,69.71954306474112
AMAC_A04,LEFT,0,1,10,5.3426183139618586e-06,-0.0008179581438893281,-0.12795919703463354,70.42486028687463
AMAC_A04,LEFT,0,1,11,5.367164378939224e-06,-0.0008215066735586589,-0.12786232440367576,71.01370690415652
AMAC_A04,LEFT,0,1,12,7.068444793585523e-06,-0.001079530211797068,-0.12959849182640312,71.98839538482486
AMAC_A04,LEFT,0,1,13,7.111824771142556e-06,-0.00108645587068998,-0.12957576674846577,72.20624664479459
AMAC_A04,LEFT,0,1,14,7.4977528503152406e-06,-0.0011451855252865763,-0.12995704959209062,72.26743312547359
AMAC_A04,LEFT,0,1,15,7.556552302737957e-06,-0.0011544855840777439,-0.1298194036109044,71.98763130432208
AMAC_A04,LEFT,0,2,0,3.461107219391488e-08,4.34056373713302e-06,-4.404180466851065,61.82009982591373
AMAC_A04,LEFT,0,2,1,4.867335199657273e-08,-2.426801645657438e-06,-0.15347364084988396,28993.68826290447
AMAC_A04,LEFT,0,2,2,7.775342452547814e-07,-7.55143677214478e-05,-0.1261410604457438,112.31714820576057
AMAC_A04,LEFT,0,2,3,8.541986960496337e-07,-8.30911227391432e-05,-0.1267487299406814,64.79678851462916
AMAC_A04,LEFT,0,2,4,3.6757803626606583e-06,-0.00034902154486106846,-0.12582906859806822,69.41078867373251
AMAC_A04,LEFT,0,2,5,3.752497919233047e-06,-0.00035663657216582396,-0.1257274005228574,69.26643326044776
AMAC_A04,LEFT,0,2,6,4.405481042961615e-06,-0.00041746847407825397,-0.1263376657536263,70.40612448196116
AMAC_A04,LEFT,0,2,7,4.4854398922808e-06,-0.0004253813107805598,-0.12705484008522352,70.32455537701972
AMAC_A04,LEFT,0,2,8,8.03707997577728e-06,-0.000758195440816936,-0.12692751399998894,70.12748500460262
AMAC_A04,LEFT,0,2,9,8.116619597207955e-06,-0.0007658967748756022,-0.1262975435351154,69.74315708742752
AMAC_A04,LEFT,0,2,10,8.76644757175708e-06,-0.0008270354173482447,-0.12681591341546572,70.44114405767128
AMAC_A04,LEFT,0,2,11,8.820847428627134e-06,-0.0008316830611685067,-0.12775891206840206,71.3601287201488
AMAC_A04,LEFT,0,2,12,1.1556089690433387e-05,-0.0010868704606816816,-0.12924313060705744,73.46235488163508
AMAC_A04,LEFT,0,2,13,1.1645830172514831e-05,-0.001095608678061927,-0.13030517873519798,73.62424542175944
AMAC_A04,LEFT,0,2,14,1.2257893238634956e-05,-0.0011531398160467285,-0.1282711942779263,73.52067591573798
AMAC_A04,LEFT,0,2,15,1.2392383491119659e-05,-0.001166112602647441,-0.1294899376483351,72.72935490042202
AMAC_A04,LEFT,0,3,0,3.092620265742321e-08,3.0559458243505637e-07,-0.1594396134096763,5139.749255915599
AMAC_A04,LEFT,0,3,1,4.452172934501226e-08,-1.6572236366640662e-06,-0.48079368186559635,88322.0944936492
AMAC_A04,LEFT,0,3,2,8.129935989028263e-07,-7.561795224055974e-05,-0.12471997972627578,110.36793856643247
AMAC_A04,LEFT,0,3,3,8.926896719638636e-07,-8.291689665310045e-05,-0.12424663702325987,61.66378856989626
AMAC_A04,LEFT,0,3,4,3.851617503430001e-06,-0.0003501349102434414,-0.12585036978065148,69.48821964818121
AMAC_A04,LEFT,0,3,5,3.932325193617378e-06,-0.0003576451461440512,-0.12682068560104473,69.70165965210421
AMAC_A04,LEFT,0,3,6,4.624215758725381e-06,-0.0004199495407322812,-0.12561911463002273,69.65071535219924
AMAC_A04,LEFT,0,3,7,4.685624555243467e-06,-0.0004250936402269673,-0.12584159341819195,70.29746064603563
AMAC_A04,LEFT,0,3,8,8.389002685579688e-06,-0.000756921665246508,-0.12757279071868977,71.09690877030907
AMAC_A04,LEFT,0,3,9,8.438751348444174e-06,-0.0007611658897344532,-0.12652512586215772,70.94514346671849
AMAC_A04,LEFT,0,3,10,9.103506640983158e-06,-0.000821210680676906,-0.12886753106479384,73.53845078207034
AMAC_A04,LEFT,0,3,11,9.236037133133753e-06,-0.0008328212967932447,-0.12860452406348688,72.00175495094618
AMAC_A04,LEFT,0,3,12,1.2065189431358336e-05,-0.0010857026677850465,-0.12880889436525225,74.1845363395889
AMAC_A04,LEFT,0,3,13,1.219997491286516e-05,-0.0010985279791367868,-0.13063972936161317,74.01098370811476
AMAC_A04,LEFT,0,3,14,1.2875005070820653e-05,-0.0011585969520922976,-0.13041461544008348,73.94672289376786
AMAC_A04,LEFT,0,3,15,1.2915304931411682e-05,-0.0011618991791290316,-0.13084550123898553,74.61975993049678
AMAC_A04,LEFT,1,0,0,4.1625754405380776e-08,2.119102746671379e-05,-21.288253560948533,52.85470662729476
AMAC_A04,LEFT,1,0,1,4.389993121838364e-08,-7.916535756397463e-07,-1.176404037696293,216430.52633438818
AMAC_A04,LEFT,1,0,2,9.665056808818691e-07,-7.543577845096104e-05,-0.12521235890706828,112.03059159807648
AMAC_A04,LEFT,1,0,3,1.0620818244153755e-06,-8.298767692685037e-05,-0.1258325593232735,64.69772472885927
AMAC_A04,LEFT,1,0,4,4.570101030619746e-06,-0.0003493549718908946,-0.1256070633317831,69.74418828037939
